"VNetSubscriptionId","VNetSubscriptionName","VNetResourceGroup","VNetName","SubnetName","PrivateIP","VMName","VMSize","OSType","VMResourceGroup","VMSubscription","VMTags","VMLocation","WorkloadType","NICName"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.5","VMADCPRD100","Standard_D2_v2","Unknown","RG-COMPUTE-AUSTRALIAEAST","987e2911-c87e-414e-9483-9f14e199edef","Environment:DRP; Role:AD; Application:AD - DNS; Business Unit:Hawkins - IT Infrastructure; Cost Centre:92006; Server owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Application Owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Patching Group:Wave 2; ManagedByIBM:Yes; PVTResolverGroupContactByIBM:iteuctcsad@downergroup.com; vinoy.kallalathil@downergroup.com; PVTResolverGroupByIBM:WPS-EUC-ADSUPPORT; PatchingWaveByIBM:Wave3(ProdServers); BusinessOwnersByIBM:N/A - Vinoy advised business approval is not required; WaveInformationFeb:Wave3Prod","australiaeast","Production","VMADCPRD100-NIC"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.6","VMADCPRD101","Standard_D2_v2","Unknown","RG-COMPUTE-AUSTRALIAEAST","987e2911-c87e-414e-9483-9f14e199edef","Environment:DRP; Role:AD; Application:AD - DNS; Business Unit:Hawkins - IT Infrastructure; Cost Centre:92006; Server owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Application Owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Patching Group:Wave 2; ManagedByIBM:Yes; PVTResolverGroupContactByIBM:iteuctcsad@downergroup.com; vinoy.kallalathil@downergroup.com; PVTResolverGroupByIBM:WPS-EUC-ADSUPPORT; PatchingWaveByIBM:Wave3(ProdServers); BusinessOwnersByIBM:N/A - Vinoy advised business approval is not required; WaveInformationFeb:Wave3Prod","australiaeast","Production","VMADCPRD101-NIC"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.12","VMADSPRD101","Standard_D2s_v3","Unknown","rg-Compute-AustraliaEast","987e2911-c87e-414e-9483-9f14e199edef","Environment:DRP; Role:ADC; Application:AD Connect; Business Unit:Hawkins - IT Infrastructure; Cost Centre:92006; Server owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Application Owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Patching Group:Wave 2; ManagedByIBM:Yes; PatchingWaveByIBM:Wave3(ProdServers)","australiaeast","Production","vmadsprd101542"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.4","VMDFSPRD500","Standard_DS1_v2","Unknown","RG-COMPUTE-AUSTRALIAEAST","987e2911-c87e-414e-9483-9f14e199edef","Environment:PRD; Role:DFS; Application:DFS; Business Unit:Hawkins - IT Infrastructure; Cost Centre:92006; Server owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Application Owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Patching Group:Wave 2; dxcMonitored :TRUE; dxcManaged :TRUE; ManagedByIBM:Yes; PatchingWaveByIBM:Wave3(ProdServers)","australiaeast","Production","vmdfsprd500939"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.9","VMDHCPRD100","Standard_D1_v2","Unknown","RG-COMPUTE-AUSTRALIAEAST","987e2911-c87e-414e-9483-9f14e199edef","Environment:PRD; Role:DHCP; Application:DHCP; Business Unit:Hawkins - IT Infrastructure; Cost Centre:92006; Server owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Application Owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Patching Group:Wave 2; dxcManaged :TRUE; dxcMonitored :TRUE; ManagedByIBM:Yes; PatchingWaveByIBM:Wave3(ProdServers)","australiaeast","Production","vmdhcprd100671"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.8","VMRADPRD100","Standard_D1_v2","Unknown","RG-COMPUTE-AUSTRALIAEAST","987e2911-c87e-414e-9483-9f14e199edef","Environment:PRD; Role:RAD; Application:NPS; Business Unit:Hawkins - IT Infrastructure; Cost Centre:92006; Server owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Application Owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Patching Group:Wave 2; dxcMonitored :TRUE; dxcManaged :TRUE; ManagedByIBM:Yes; PatchingWaveByIBM:Wave3(ProdServers)","australiaeast","Production","vmradprd100624"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.7","VMAPPPRD506","Standard_E8s_v3","Unknown","rg-prod-snowmidservers-acudn","987e2911-c87e-414e-9483-9f14e199edef","dxcPatchSchedule:{ ""Required"": ""False""}; dxcBackup:{""Required"":""True"", ""RecoveryVault"":""maint-backupvault-AE"", ""BackupPolicy"":""DefaultPolicy""}; dxcConfigurationCheck:; Application:ServiceNow; DepartmentName:ServiceNow; Project:ServiceNowMidServer; Business Unit Code:CorpServices-Information Technology; Cost_Centre:109112; Cost Centre Owner:Don Dhammanarachchi; Application Owner:Don Dhammanarachchi; Outage Approver:Don Dhammanarachchi; Server Owner (Contact for patching approval):Don Dhammanarachchi; Geo-Entity:AU; Business_Unit:Information Technology; Entity_Code:DA; Patching Group:Wave 2; ManagedByIBM:Yes; PatchingWaveByIBM:Wave3(ProdServers); Environment:PRD","australiaeast","Production","VMAPPPRD506-vNic"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.10","VMAPPPRD507","Standard_E8s_v3","Unknown","rg-prod-snowmidservers-acudn","987e2911-c87e-414e-9483-9f14e199edef","dxcPatchSchedule:{ ""Required"": ""False""}; dxcBackup:{""Required"":""True"", ""RecoveryVault"":""maint-backupvault-AE"", ""BackupPolicy"":""DefaultPolicy""}; dxcConfigurationCheck:; Application:ServiveNow; DepartmentName:ServiveNow; Project:ServiveNowMidServer; Business Unit Code:CorpServices-Information Technology; Cost Centre Owner:Don Dhammanarachchi; Application Owner:Don Dhammanarachchi; Outage Approver:Don Dhammanarachchi; Server Owner (Contact for patching approval):Don Dhammanarachchi; Geo-Entity:AU; Business_Unit:Information Technology; Entity_Code:DA; Patching Group:Wave 2; Cost Centre:109112; Environment:PRD; ManagedByIBM:Yes; PatchingWaveByIBM:Wave3(ProdServers)","australiaeast","Production","VMAPPPRD507-vNic"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_CoreInfrastructure100","172.21.2.11","NZAZENGPWDP001","Standard_D4s_v5","Unknown","rg-w2k19ent-dns-prd","987e2911-c87e-414e-9483-9f14e199edef","ManagedByIBM:Yes; PVTResolverGroupContactByIBM:iteuctcsad@downergroup.com; vinoy.kallalathil@downergroup.com; PVTResolverGroupByIBM:WPS-EUC-ADSUPPORT; PatchingWaveByIBM:Wave3(ProdServers); BusinessOwnersByIBM:N/A - Vinoy advised business approval is not required; WaveInformationFeb:Wave3Prod; Environment:PRD","australiaeast","Production","NZAZENGPWDP001-vNic"
"987e2911-c87e-414e-9483-9f14e199edef","ACUDN-Subscription-Prod","rg-Network-AustraliaEast","VNet-AustraliaEast","Green_Management100","172.21.16.4","VMMGMPRD100","Standard_B4ms","Unknown","rg-Compute-AustraliaEast","987e2911-c87e-414e-9483-9f14e199edef","Environment:PRD; Role:JH; Application:Vendor - Jump host - To connect from Checkpoint Capsule VPN client; Business Unit:Hawkins - IT Infrastructure; Cost Centre:92006; Server owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Application Owner:Matt Gurry (Matthew.Gurry@downer.co.nz); Patching Group:Wave 2; dxcMonitored :TRUE; dxcManaged :TRUE; ManagedByIBM:Yes; PatchingWaveByIBM:Wave3(ProdServers)","australiaeast","Production","vmmgmprd100351"
